App,Package,Start Time,Duration,Filename
"2048",com.tpcstld.twozerogame,"Feb 15, 2018 @ 06:06:22 PM","48 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
10529,133000,10530,19,10531,60,10532,1401600,10532,1401600,10539,45,10539,1555200,10540,1555200,
10629,133000,10630,19,10631,51,10632,1401600,10632,1401600,10639,40,10640,1555200,10640,1555200,
10730,133000,10730,19,10732,62,10732,1401600,10732,1401600,10740,49,10741,1555200,10742,1555200,
10830,133000,10831,19,10832,52,10832,1401600,10833,1401600,10840,41,10841,1555200,10841,1555200,
10930,133000,10931,19,10932,63,10933,1401600,10933,1401600,10941,49,10941,1555200,10942,1555200,
11031,133000,11031,19,11033,38,11033,1401600,11033,1401600,11039,28,11040,1555200,11040,1555200,
11136,133000,11136,19,11138,70,11139,1401600,11139,1401600,11147,54,11148,1555200,11148,1555200,
11241,133000,11241,19,11243,63,11243,1401600,11243,1401600,11249,48,11250,1555200,11250,1555200,
11341,133000,11341,19,11343,67,11343,1401600,11344,1401600,11350,53,11351,1555200,11352,1555200,
11441,133000,11442,19,11443,52,11444,1401600,11444,1401600,11451,42,11452,1555200,11452,1555200,
11541,133000,11542,22,11544,58,11544,1401600,11545,1401600,11553,42,11554,1555200,11554,1555200,
11642,133000,11643,22,11644,62,11644,1401600,11645,1401600,11652,49,11653,1555200,11653,1555200,
11742,133000,11743,22,11744,50,11745,1401600,11745,1401600,11753,38,11753,1555200,11753,1555200,
11843,133000,11844,22,11845,51,11850,1401600,11851,1401600,11857,42,11857,1555200,11858,1555200,
11943,133000,11944,22,11946,47,11946,1401600,11947,1401600,11956,33,11956,1555200,11957,1555200,
12044,133000,12045,22,12047,60,12049,1401600,12049,1401600,12056,47,12056,1555200,12057,1555200,
12146,133000,12146,22,12148,64,12149,1401600,12149,1401600,12174,53,12174,1555200,12174,1555200,
12246,133000,12247,22,12248,66,12249,1401600,12249,1401600,12256,49,12256,1555200,12257,1555200,
12347,133000,12347,22,12348,48,12349,1401600,12349,1401600,12354,36,12355,1555200,12355,1555200,
12447,133000,12448,22,12450,48,12450,1401600,12450,1401600,12458,38,12458,1555200,12459,1555200,
12547,133000,12548,20,12549,54,12550,1401600,12550,1401600,12556,36,12557,1555200,12557,1555200,
12648,133000,12649,20,12650,58,12651,1401600,12652,1401600,12661,47,12662,1555200,12663,1555200,
12748,133000,12749,20,12750,50,12751,1401600,12751,1401600,12756,38,12756,1555200,12757,1555200,
12848,133000,12849,20,12850,28,12850,1401600,12850,1401600,12855,21,12855,1555200,12856,1555200,
12949,133000,12950,20,12951,31,12951,1401600,12951,1401600,12959,23,12959,1555200,12960,1555200,
13050,133000,13051,20,13053,23,13053,1401600,13054,1401600,13059,17,13059,1555200,13060,1555200,
13150,133000,13151,20,13152,21,13152,1401600,13153,1401600,13157,17,13158,1555200,13158,1555200,
13250,133000,13252,20,13254,47,13255,1401600,13255,1401600,13262,38,13262,1555200,13263,1555200,
13351,133000,13352,20,13354,28,13355,1401600,13355,1401600,13362,22,13363,1555200,13363,1555200,
13451,133000,13452,20,13454,29,13454,1401600,13454,1401600,13460,21,13461,1555200,13461,1555200,
13551,133000,13552,22,13553,32,13553,1401600,13554,1401600,13559,24,13559,1555200,13559,1555200,
13652,133000,13652,22,13653,27,13654,1401600,13654,1401600,13658,22,13659,1555200,13659,1555200,
13752,133000,13753,22,13754,29,13754,1401600,13754,1401600,13759,22,13759,1555200,13759,1555200,
13863,133000,13864,22,13865,43,13865,1401600,13866,1401600,13883,35,13887,1555200,13895,1555200,
13954,133000,13955,22,13956,91,13957,1401600,13957,1401600,13987,72,13988,1555200,13988,1555200,
14055,133000,14056,22,14057,92,14058,1401600,14058,1401600,14069,73,14070,1555200,14070,1555200,
14155,133000,14156,22,14157,85,14158,1401600,14159,1401600,14171,68,14172,1555200,14172,1555200,
14256,133000,14256,22,14257,48,14258,1401600,14258,1401600,14263,32,14264,1555200,14264,1555200,
14356,133000,14357,22,14358,43,14359,1401600,14359,1401600,14367,35,14368,1555200,14368,1555200,
14457,133000,14457,22,14458,41,14459,1401600,14459,1401600,14463,32,14463,1555200,14464,1555200,
14557,133000,14558,22,14559,37,14560,1401600,14560,1401600,14567,31,14568,1555200,14568,1555200,
14658,133000,14658,22,14660,44,14660,1401600,14661,1401600,14668,33,14668,1555200,14669,1555200,
14758,133000,14759,22,14760,39,14760,1401600,14761,1401600,14765,31,14765,1555200,14765,1555200,
14858,133000,14859,22,14860,37,14861,1401600,14861,1401600,14866,29,14866,1555200,14867,1555200,
14959,133000,14959,22,14960,37,14961,1401600,14961,1401600,14966,26,14966,1555200,14967,1555200,
15059,133000,15060,22,15061,69,15061,1401600,15062,1401600,15066,56,15066,1555200,15067,1555200,
15160,133000,15160,22,15162,60,15162,1401600,15162,1401600,15167,46,15167,1555200,15167,1555200,
15260,133000,15261,22,15262,17,15262,1401600,15263,1401600,15267,12,15267,1555200,15268,1555200,
15361,133000,15361,22,15362,29,15363,1401600,15363,1401600,15368,22,15368,1555200,15368,1555200,
15461,133000,15462,22,15463,27,15463,1401600,15464,1401600,15467,20,15468,1555200,15468,1555200,
15562,133000,15562,19,15563,15,15564,1401600,15564,1401600,15568,12,15568,1555200,15569,1555200,
15662,133000,15663,19,15664,16,15664,1401600,15664,1401600,15668,11,15668,1555200,15669,1555200,
15763,133000,15764,19,15765,23,15765,1401600,15766,1401600,15770,18,15770,1555200,15770,1555200,
15864,133000,15864,19,15866,17,15866,1401600,15867,1401600,15872,13,15872,1555200,15872,1555200,
15964,214000,15965,19,15966,20,15966,1401600,15966,1401600,15970,15,15971,1555200,15971,1555200,
16065,214000,16066,19,16067,20,16067,1401600,16067,1401600,16072,13,16072,1555200,16073,1555200,
16166,214000,16167,19,16169,62,16169,1401600,16170,1401600,16179,49,16180,1555200,16180,1555200,
16266,214000,16267,19,16268,71,16268,1401600,16269,1401600,16273,56,16274,1555200,16274,1555200,
16367,214000,16368,19,16370,69,16370,1401600,16371,1401600,16378,57,16378,1555200,16379,1555200,
16468,214000,16469,19,16472,75,16472,1401600,16473,1401600,16484,59,16484,1555200,16489,1555200,
16573,214000,16574,19,16578,82,16579,1401600,16579,1401600,16596,64,16597,1555200,16598,1555200,
16672,133000,16672,19,16674,92,16674,1401600,16675,1401600,16688,74,16689,1555200,16690,1555200,
16772,133000,16773,11,16787,93,16788,1401600,16789,1401600,16797,74,16798,1555200,16798,1555200,
16873,133000,16874,11,16875,72,16876,1401600,16876,1401600,16885,56,16885,1555200,16886,1555200,
16973,133000,16973,11,16975,57,16975,1401600,16976,1401600,16983,47,16983,1555200,16984,1555200,
17073,133000,17074,11,17075,74,17075,1401600,17076,1401600,17082,59,17082,1555200,17083,1555200,
17174,133000,17175,11,17176,64,17177,1401600,17177,1401600,17185,50,17186,1555200,17186,1555200,
17275,133000,17275,11,17277,59,17278,1401600,17278,1401600,17288,46,17288,1555200,17288,1555200,
17375,133000,17376,11,17377,65,17378,1401600,17378,1401600,17386,51,17387,1555200,17387,1555200,
17476,133000,17477,11,17478,58,17479,1401600,17479,1401600,17486,45,17487,1555200,17487,1555200,
17577,133000,17577,11,17578,56,17579,1401600,17579,1401600,17586,43,17586,1555200,17587,1555200,
17677,133000,17678,11,17679,56,17679,1401600,17680,1401600,17686,43,17686,1555200,17686,1555200,
17778,133000,17779,20,17781,62,17782,1401600,17782,1401600,17795,51,17796,1555200,17796,1555200,
17878,133000,17879,20,17880,64,17880,1401600,17880,1401600,17886,47,17886,1555200,17887,1555200,
17978,133000,17979,20,17980,47,17981,1401600,17981,1401600,17989,35,17990,1555200,17990,1555200,
18079,133000,18080,20,18081,60,18081,1401600,18082,1401600,18089,47,18090,1555200,18090,1555200,
18179,133000,18180,20,18181,69,18182,1401600,18182,1401600,18188,56,18189,1555200,18189,1555200,
18280,133000,18280,20,18282,43,18283,1401600,18283,1401600,18292,29,18292,1555200,18293,1555200,
18380,133000,18382,20,18383,17,18384,1401600,18384,1401600,18389,14,18390,1555200,18390,1555200,
18481,133000,18482,20,18483,43,18484,1401600,18484,1401600,18490,34,18490,1555200,18490,1555200,
18582,133000,18583,20,18584,30,18584,1401600,18585,1401600,18592,21,18593,1555200,18593,1555200,
18682,133000,18683,20,18684,27,18685,1401600,18686,1401600,18693,21,18693,1555200,18693,1555200,
18783,133000,18784,21,18785,35,18785,1401600,18786,1401600,18796,28,18797,1555200,18797,1555200,
18883,133000,18884,21,18885,47,18885,1401600,18886,1401600,18890,38,18890,1555200,18890,1555200,
18983,133000,18984,21,18985,30,18985,1401600,18986,1401600,18990,22,18991,1555200,18991,1555200,
19084,133000,19085,21,19086,30,19087,1401600,19087,1401600,19093,22,19093,1555200,19094,1555200,
19184,133000,19185,21,19186,43,19186,1401600,19187,1401600,19193,35,19193,1555200,19194,1555200,
19285,133000,19285,21,19287,32,19287,1401600,19288,1401600,19296,25,19297,1555200,19298,1555200,
19385,133000,19386,21,19387,39,19388,1401600,19388,1401600,19402,30,19403,1555200,19403,1555200,
19486,133000,19487,21,19488,50,19488,1401600,19489,1401600,19499,40,19500,1555200,19500,1555200,
19586,133000,19587,21,19588,25,19588,1401600,19589,1401600,19594,20,19595,1555200,19595,1555200,
19686,133000,19687,21,19689,33,19689,1401600,19689,1401600,19696,26,19696,1555200,19697,1555200,
