App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 22, 2018 @ 04:57:04 PM","1 min 20 sec",""

Time  [ms],"GPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"Wi-Fi State",Time  [ms],"Screen State",
18948,0,18952,3292112,18977,10,18875,3,18978,1,
19048,0,19054,3292332,19074,6,18978,3,19075,1,
19150,0,19154,3292704,19175,7,19074,3,19175,1,
19253,0,19257,3293184,19282,8,19175,3,19283,1,
19353,0,19356,3293184,19379,7,19282,3,19379,1,
19454,0,19457,3293308,19474,6,19379,3,19475,1,
19555,0,19557,3293416,19574,7,19475,3,19574,1,
19658,0,19662,3293664,19687,6,19574,3,19687,1,
19758,0,19761,3291804,19778,16,19687,3,19779,1,
19861,0,19864,3292036,19886,10,19779,3,19886,1,
19963,0,19966,3292036,19993,7,19886,3,19994,1,
20064,0,20067,3292160,20093,6,19994,3,20093,1,
20165,0,20168,3292268,20197,9,20093,3,20197,1,
20265,0,20269,3292020,20294,4,20197,3,20295,1,
20366,0,20369,3292268,20388,7,20295,3,20389,1,
20467,0,20468,3292656,20474,19,20389,3,20474,1,
20571,0,20573,3311364,20591,39,20474,3,20591,1,
20674,0,20678,3292364,20695,28,20591,3,20696,1,
20776,0,20780,3292348,20801,5,20696,3,20802,1,
20876,0,20879,3292348,20903,9,20802,3,20904,1,
20976,0,20978,3292472,20993,17,20903,3,20993,1,
21078,0,21081,3292828,21099,15,20993,3,21100,1,
21183,0,21186,3292828,21210,5,21100,3,21210,1,
21283,0,21286,3292580,21304,8,21210,3,21305,1,
21333,0,21336,3292580,21354,10,21305,3,21354,1,
21437,0,21440,3292332,21469,5,21354,3,21469,1,
21536,0,21539,3292316,21555,5,21469,3,21556,1,
21637,0,21641,3292316,21657,6,21556,3,21658,1,
21739,0,21743,3292440,21760,6,21658,3,21761,1,
21839,0,21843,3292424,21874,6,21761,3,21874,1,
21939,7,21942,3292548,21963,8,21874,3,21964,1,
22040,7,22043,3292548,22062,4,21964,3,22063,1,
22142,7,22145,3292920,22166,6,22063,3,22167,1,
22244,7,22247,3292904,22268,5,22167,3,22269,1,
22345,0,22348,3292844,22367,8,22269,3,22369,1,
22447,0,22450,3292844,22472,7,22368,3,22473,1,
22548,0,22551,3292968,22571,6,22472,3,22572,1,
22650,0,22657,3293464,22669,5,22572,3,22669,1,
22751,0,22754,3293340,22772,7,22669,3,22774,1,
22860,0,22865,3293820,22884,6,22773,3,22885,1,
22954,0,22958,3293572,22975,7,22885,3,22976,1,
23054,0,23057,3293448,23075,5,22976,3,23076,1,
23156,0,23160,3293556,23181,5,23076,3,23181,1,
23256,0,23260,3293664,23280,8,23181,3,23281,1,
23359,0,23363,3293540,23389,8,23281,3,23390,1,
23459,0,23464,3293648,23489,7,23390,3,23490,1,
23560,0,23563,3293896,23583,9,23489,3,23584,1,
23663,0,23666,3293772,23685,5,23583,3,23686,1,
23767,0,23770,3294144,23792,7,23686,3,23794,1,
23870,0,23875,3292036,23895,18,23793,3,23896,1,
23971,0,23975,3292116,23984,10,23896,3,23984,1,
24074,0,24077,3292240,24093,18,23984,3,24093,1,
24174,0,24177,3292364,24193,16,24093,3,24194,1,
24275,0,24276,3292348,24289,7,24194,3,24290,1,
24377,0,24380,3292348,24398,6,24289,3,24399,1,
24478,0,24481,3292596,24499,6,24399,3,24500,1,
24580,0,24583,3292580,24603,6,24500,3,24604,1,
24679,0,24681,3292580,24695,7,24604,3,24695,1,
24783,0,24788,3288612,24808,8,24695,3,24809,1,
24883,0,24886,3288472,24908,8,24809,3,24909,1,
24985,0,24989,3288596,25010,5,24908,3,25011,1,
25086,0,25089,3288968,25109,10,25011,3,25110,1,
25187,0,25190,3289076,25210,5,25109,3,25211,1,
25289,0,25292,3289076,25313,8,25211,3,25313,1,
25390,0,25394,3289076,25415,6,25313,3,25415,1,
25491,0,25496,3289404,25511,7,25415,3,25511,1,
25593,0,25595,3290272,25614,9,25511,3,25615,1,
25694,0,25695,3290520,25702,8,25615,3,25703,1,
25796,0,25799,3290876,25816,5,25702,3,25816,1,
25898,0,25902,3291000,25921,8,25816,3,25922,1,
25998,0,26001,3291124,26021,7,25921,3,26021,1,
26100,0,26104,3291232,26127,7,26021,3,26128,1,
26200,0,26204,3291108,26224,8,26128,3,26225,1,
26302,0,26305,3291728,26326,6,26225,3,26327,1,
26404,0,26407,3291728,26429,5,26327,3,26430,1,
26503,0,26505,3292240,26511,20,26430,3,26511,1,
26604,0,26605,3294844,26610,28,26511,3,26610,1,
26705,0,26706,3296208,26711,27,26610,3,26712,1,
26806,0,26807,3297308,26814,30,26712,3,26814,1,
26908,0,26909,3300284,26915,31,26814,3,26916,1,
27008,0,27010,3303092,27016,30,26916,3,27016,1,
27110,0,27111,3305916,27121,28,27016,3,27122,1,
27213,0,27216,3306660,27234,11,27122,3,27234,1,
27311,0,27312,3310772,27318,58,27234,3,27318,1,
27412,0,27413,3307240,27428,93,27318,3,27431,1,
27513,0,27514,3314408,27521,82,27430,3,27521,1,
27613,0,27614,3313764,27620,83,27521,3,27620,1,
27713,0,27714,3316496,27719,57,27620,3,27719,1,
27815,0,27816,3320092,27825,97,27719,3,27825,1,
27915,0,27916,3323004,27930,91,27825,3,27931,1,
28016,0,28016,3323480,28027,99,27931,3,28027,1,
28116,0,28124,3326176,28130,81,28027,3,28130,1,
28216,0,28217,3327496,28224,74,28130,3,28224,1,
28318,0,28318,3329792,28326,74,28224,3,28326,1,
28418,0,28418,3337372,28422,91,28326,3,28423,1,
28519,0,28519,3345124,28527,97,28423,3,28529,1,
28619,0,28620,3349556,28625,91,28529,3,28625,1,
28720,0,28721,3354192,28728,97,28625,3,28728,1,
28821,0,28821,3356704,28827,76,28728,3,28827,1,
28921,0,28922,3360176,28929,79,28827,3,28929,1,
29022,8,29023,3363108,29031,92,28929,3,29032,1,
29124,8,29125,3368484,29132,91,29031,3,29132,1,
29225,0,29226,3368736,29241,74,29132,3,29242,1,
29325,0,29326,3371992,29346,92,29242,3,29346,1,
29426,0,29426,3374816,29445,97,29346,3,29445,1,
29527,0,29528,3375452,29537,87,29445,3,29537,1,
29628,0,29629,3378272,29647,97,29537,3,29647,1,
29728,0,29729,3382984,29745,79,29647,3,29746,1,
29828,0,29829,3393772,29837,78,29745,3,29838,1,
29929,0,29930,3394724,29941,71,29838,3,29941,1,
30031,0,30034,3394724,30051,53,29941,3,30051,1,
30131,0,30132,3396744,30139,93,30051,3,30139,1,
30233,0,30234,3400340,30247,67,30139,3,30247,1,
30333,0,30334,3413012,30346,66,30247,3,30347,1,
30433,0,30434,3413648,30441,63,30347,3,30442,1,
30534,0,30535,3415416,30546,78,30441,3,30546,1,
30634,0,30635,3417400,30642,78,30546,3,30652,1,
30734,0,30735,3420468,30742,92,30642,3,30742,1,
30835,0,30836,3421460,30843,91,30742,3,30844,1,
30935,0,30936,3422080,30946,92,30844,3,30947,1,
31037,0,31040,3424684,31057,53,30947,3,31057,1,
31136,0,31137,3426916,31143,66,31057,3,31143,1,
31237,0,31238,3428280,31246,66,31143,3,31247,1,
31337,0,31338,3428900,31357,61,31246,3,31357,1,
31440,0,31441,3430172,31448,95,31357,3,31449,1,
