App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 22, 2018 @ 04:55:21 PM","1 min 2 sec",""

Time  [ms],"GPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"Wi-Fi State",Time  [ms],"Screen State",
17389,0,17392,3454264,17405,8,17321,3,17406,1,
17492,0,17495,3455040,17519,7,17406,3,17520,1,
17593,0,17596,3455476,17622,10,17520,3,17623,1,
17692,0,17694,3447232,17706,27,17623,3,17706,1,
17792,0,17794,3450332,17799,32,17706,3,17800,1,
17892,0,17893,3452936,17898,35,17800,3,17898,1,
17993,0,17994,3454392,17998,34,17898,3,17998,1,
18095,0,18096,3457896,18100,37,17998,3,18100,1,
18198,0,18201,3457928,18212,35,18100,3,18212,1,
18297,0,18298,3414752,18306,48,18212,3,18306,1,
18398,0,18399,3322756,18404,81,18306,3,18405,1,
18498,0,18500,3340032,18515,65,18405,3,18516,1,
18599,0,18600,3340192,18604,38,18515,3,18605,1,
18699,0,18700,3340316,18705,4,18605,3,18705,1,
18799,0,18800,3340316,18805,4,18705,3,18805,1,
18902,0,18905,3340364,18922,6,18805,3,18923,1,
19004,0,19007,3340612,19028,11,18923,3,19028,1,
19105,0,19108,3340984,19128,5,19028,3,19129,1,
19208,0,19212,3341356,19239,6,19128,3,19239,1,
19309,0,19313,3341232,19342,7,19239,3,19342,1,
19410,0,19414,3340984,19439,6,19342,3,19440,1,
19512,0,19515,3341076,19539,8,19440,3,19540,1,
19612,0,19614,3341292,19627,15,19539,3,19628,1,
19713,0,19716,3341416,19744,13,19627,3,19744,1,
19818,0,19821,3341416,19840,12,19744,3,19841,1,
19917,0,19922,3341540,19950,6,19841,3,19951,1,
20017,0,20022,3341912,20048,9,19951,3,20048,1,
20117,0,20122,3342004,20143,15,20048,3,20143,1,
20220,0,20222,3342376,20246,16,20143,3,20246,1,
20321,0,20324,3342872,20343,12,20246,3,20344,1,
20422,0,20425,3342748,20442,6,20344,3,20442,1,
20526,0,20529,3343216,20550,5,20442,3,20550,1,
20627,0,20632,3343216,20666,4,20550,3,20666,1,
20741,0,20743,3337852,20755,18,20666,3,20755,1,
20829,0,20831,3337728,20853,5,20755,3,20854,1,
20931,0,20933,3337728,20952,6,20854,3,20953,1,
21032,0,21034,3337728,21052,5,20953,3,21053,1,
21133,0,21135,3337852,21144,13,21053,3,21144,1,
21232,0,21233,3337852,21237,24,21144,3,21237,1,
21335,0,21336,3337820,21354,17,21237,3,21355,1,
21435,0,21436,3337464,21443,26,21354,3,21443,1,
21538,0,21541,3337448,21559,5,21443,3,21559,1,
21640,0,21644,3337572,21666,6,21559,3,21667,1,
21742,0,21745,3337324,21763,8,21667,3,21763,1,
21843,0,21849,3337324,21867,11,21763,3,21868,1,
21944,0,21947,3337540,21965,3,21868,3,21966,1,
22045,0,22049,3337540,22077,4,21966,3,22078,1,
22147,0,22150,3337760,22167,7,22078,3,22168,1,
22250,0,22254,3337760,22283,5,22168,3,22284,1,
